iter	Passed	Remaining
556	22919	18228
557	22973	18197
558	23012	18154
559	23052	18112
560	23092	18070
561	23133	18029
562	23200	18008
563	23241	17966
564	23280	17924
565	23327	17887
566	23366	17844
567	23407	17803
568	23447	17761
569	23487	17718
570	23548	17692
571	23588	17650
572	23630	17609
573	23669	17566
574	23709	17524
575	23749	17482
576	23788	17439
577	23827	17396
578	23867	17354
579	23907	17312
580	23951	17273
581	23992	17231
582	24030	17188
583	24068	17144
584	24108	17102
585	24147	17059
586	24187	17017
587	24235	16981
588	24275	16939
589	24314	16896
590	24355	16854
591	24402	16817
592	24442	16775
593	24481	16733
594	24529	16696
595	24570	16655
596	24609	16612
597	24646	16568
598	24697	16533
599	24737	16491
600	24775	16448
601	24815	16406
602	24856	16364
603	24897	16323
604	24943	16285
605	24982	16243
606	25038	16211
607	25078	16168
608	25118	16127
609	25158	16085
610	25198	16043
611	25237	16000
612	25276	15957
613	25315	15914
614	25354	15872
615	25392	15829
616	25440	15791
617	25479	15749
618	25520	15707
619	25560	15666
620	25611	15631
621	25650	15588
622	25690	15546
623	25728	15503
624	25779	15467
625	25819	15425
626	25860	15384
627	25901	15343
628	25951	15306
629	25989	15263
630	26029	15221
631	26067	15178
632	26108	15137
633	26156	15099
634	26194	15056
635	26234	15014
636	26275	14973
637	26314	14930
638	26354	14888
639	26399	14849
640	26438	14807
641	26479	14765
642	26523	14726
643	26563	14684
644	26605	14643
645	26647	14602
646	26690	14562
647	26734	14522
648	26776	14481
649	26816	14439
650	26858	14398
651	26897	14356
652	26940	14315
653	26981	14274
654	27023	14233
655	27062	14191
656	27105	14151
657	27146	14109
658	27185	14067
659	27225	14025
660	27267	13984
661	27307	13942
662	27348	13900
663	27388	13859
664	27432	13819
665	27477	13780
666	27536	13747
667	27579	13706
668	27619	13665
669	27680	13633
670	27720	13591
671	27761	13550
672	27801	13508
673	27842	13466
674	27883	13425
675	27943	13393
676	27984	13351
677	28026	13310
678	28066	13268
679	28109	13227
680	28150	13186
681	28192	13145
682	28232	13103
683	28272	13061
684	28313	13020
685	28353	12978
686	28392	12935
687	28432	12894
688	28472	12851
689	28513	12810
690	28556	12769
691	28598	12728
692	28639	12687
693	28677	12644
694	28716	12602
695	28756	12560
696	28799	12519
697	28840	12478
698	28882	12437
699	28928	12397
700	28969	12356
701	29011	12315
702	29052	12274
703	29092	12232
704	29139	12193
705	29179	12151
706	29220	12109
707	29260	12067
708	29300	12025
