iter	Passed	Remaining
667	25072	49995
668	25109	49956
669	25144	49913
670	25182	49877
671	25220	49839
672	25255	49797
673	25292	49759
674	25328	49718
675	25363	49676
676	25402	49641
677	25439	49602
678	25474	49561
679	25511	49522
680	25547	49482
681	25583	49441
682	25626	49414
683	25662	49374
684	25700	49337
685	25752	49328
686	25791	49293
687	25827	49252
688	25863	49211
689	25900	49174
690	25937	49135
691	25984	49114
692	26021	49076
693	26058	49038
694	26094	48998
695	26128	48954
696	26166	48917
697	26203	48877
698	26237	48834
699	26274	48795
700	26312	48758
701	26348	48718
702	26387	48683
703	26422	48641
704	26458	48601
705	26493	48558
706	26528	48517
707	26564	48476
708	26598	48432
709	26633	48390
710	26667	48346
711	26702	48305
712	26737	48262
713	26774	48223
714	26808	48179
715	26842	48136
716	26876	48093
717	26912	48053
718	26947	48011
719	26983	47970
720	27019	47929
721	27054	47887
722	27089	47847
723	27126	47807
724	27161	47766
725	27195	47723
726	27230	47681
727	27282	47669
728	27317	47627
729	27353	47587
730	27388	47546
731	27422	47502
732	27457	47461
733	27494	47422
734	27531	47383
735	27567	47343
736	27603	47303
737	27645	47274
738	27697	47262
739	27733	47222
740	27768	47180
741	27804	47140
742	27839	47098
743	27874	47057
744	27907	47011
745	27940	46966
746	27975	46925
747	28007	46878
748	28043	46839
749	28079	46799
750	28114	46758
751	28150	46717
752	28185	46675
753	28237	46663
754	28273	46622
755	28312	46588
756	28351	46553
757	28392	46521
758	28428	46482
759	28462	46439
760	28497	46398
761	28533	46357
762	28569	46317
763	28604	46275
764	28639	46234
765	28675	46195
766	28711	46155
767	28745	46113
768	28780	46071
769	28822	46041
770	28856	45998
771	28894	45962
772	28929	45921
773	28965	45880
774	29001	45840
775	29035	45798
776	29071	45758
777	29106	45717
778	29142	45677
779	29177	45636
780	29212	45594
781	29245	45551
782	29280	45510
783	29315	45469
784	29366	45452
785	29402	45412
786	29435	45368
787	29470	45328
788	29506	45287
789	29539	45244
790	29573	45201
791	29607	45159
792	29642	45118
793	29678	45078
794	29712	45036
795	29747	44994
796	29783	44955
797	29819	44915
798	29854	44874
799	29888	44833
800	29923	44791
801	29958	44750
802	30003	44725
803	30040	44686
804	30075	44646
805	30110	44604
806	30145	44564
